_id,State,Constituency,Party,Candidate Name,,,,
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Independent,V.K. ABDUL AZIZ,,,,
2,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Independent,USHA KUMARI,,,,
3,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Independent,RINKU MALA MONDAL,,,,
4,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Indian National Congress,KULDEEP RAI SHARMA,,,,
5,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Independent,ANAND RAMNATH ARLEKAR,,,,
6,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Independent,K VENKAT RAM BABU,,,,
7,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Socialist Unity Centre Of India (COMMUNIST),SALAMAT MONDAL,,,,
8,Andaman & Nicobar Islands,Andaman & Nicobar Islands,All India Anna Dravida Munnetra Kazhagam,K J B SELVARAJ,,,,
9,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Andaman Nicobar Democratic Congress,MANOJ PAUL,,,,
10,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Communist Party of India  (Marxist),D AYYAPPAN,,,,
11,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Bahujan Samaj Party,DR ARUN KUMAR MALLIK,,,,
12,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Bharatiya Janata Party,BISHNU PADA RAY,,,,
13,Andhra Pradesh,Araku (ST),Bharatiya Janata Party,KOTHAPALLI GEETHA,,,,
14,Andhra Pradesh,Araku (ST),Independent,SAMAREDDY BALAKRISHNA,,,,
15,Andhra Pradesh,Araku (ST),Independent,ATHIDHI,,,,
16,Andhra Pradesh,Araku (ST),Independent,MANDALA GIRIDHARA RAO,,,,
17,Andhra Pradesh,Araku (ST),Bharat Adivasi Party,MOTTADAM . RAJABABU,,,,
18,Andhra Pradesh,Araku (ST),India Praja Bandhu Party,VUYAKA NIREEKSHAN  (V. CHENCHU),,,,
19,Andhra Pradesh,Araku (ST),Independent,NIMMAKA JAYARAJU,,,,
20,Andhra Pradesh,Araku (ST),Communist Party of India  (Marxist),APPALANARASA PACHIPENTA,,,,
21,Andhra Pradesh,Araku (ST),Yuvajana Sramika Rythu Congress Party,GUMMA THANUJA RANI,,,,
22,Andhra Pradesh,Araku (ST),Jai Bharat National Party,CHANTI BADNAINA,,,,
23,Andhra Pradesh,Araku (ST),Telugu Rajadhikara Samiti Party,RAMBABU JALLI,,,,
24,Andhra Pradesh,Araku (ST),Bahujan Samaj Party,AVASHYA LAHARI . VARAM,,,,
25,Andhra Pradesh,Araku (ST),Independent,RANJITH KUMAR PALAKA,,,,
26,Andhra Pradesh,Srikakulam,Indian National Congress,PEDADA PARAMESWARA RAO,,,,
27,Andhra Pradesh,Srikakulam,Independent,SANAPALA SRAVAN KUMAR,,,,
28,Andhra Pradesh,Srikakulam,Bharatha Chaitanya Yuvajana Party,BORUBADRA CHANDRAKALA,,,,
29,Andhra Pradesh,Srikakulam,Telugu Desam,KINJARAPU RAMMOHAN NAIDU,,,,
30,Andhra Pradesh,Srikakulam,Independent,BETHA VIVEKANANDA MAHARAJ,,,,
31,Andhra Pradesh,Srikakulam,Navarang Congress Party,KAYA DURGARAO,,,,
32,Andhra Pradesh,Srikakulam,Independent,VABA YOGESWARA RAO,,,,
33,Andhra Pradesh,Srikakulam,Pyramid Party of India,BOMMALI TIRUPATI RAO,,,,
34,Andhra Pradesh,Srikakulam,Yuvajana Sramika Rythu Congress Party,TILAK PERADA,,,,
35,Andhra Pradesh,Srikakulam,Independent,CHELLURI DANIYAL,,,,
36,Andhra Pradesh,Srikakulam,Jai Bharat National Party,IPPILI SEETHARAJU,,,,
37,Andhra Pradesh,Srikakulam,Independent,YEDDU LAKSHMINARAYANA,,,,
38,Andhra Pradesh,Srikakulam,Bahujan Samaj Party,NAIDUGARI RAJASEKHAR,,,,
39,Andhra Pradesh,Vizianagaram,Independent,ADINARAYANA TADDI,,,,
40,Andhra Pradesh,Vizianagaram,Independent,ALLU SRIRAMULU,,,,
41,Andhra Pradesh,Vizianagaram,Telugu Desam,APPALANAIDU KALISETTI,,,,
42,Andhra Pradesh,Vizianagaram,Independent,MARISERLA KRISHNAMURTHY NAIDU,,,,
43,Andhra Pradesh,Vizianagaram,Yuvajana Sramika Rythu Congress Party,BELLANA CHANDRASEKHAR,,,,
44,Andhra Pradesh,Vizianagaram,Naba Bharata Nirmana Seva Party,VANGAPANDU MAHESWARA RAO,,,,
45,Andhra Pradesh,Vizianagaram,Indian National Congress,BOBBILI SRINU,,,,
46,Andhra Pradesh,Vizianagaram,Jaibhim Rao Bharat Party,CHINNAM ARUNA KUMAR,,,,
47,Andhra Pradesh,Vizianagaram,Independent,VELURI VENKATA TRINADHARAO,,,,
48,Andhra Pradesh,Vizianagaram,Pyramid Party of India,SAKHINETI ANANTHA RAJU,,,,
